"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Case.Count","Population"
"351",2005,"Pennsylvania","Oral Cavity and Pharynx","10.3","1489",12449990
"352",2005,"Rhode Island","Oral Cavity and Pharynx","10.1","116",1067916
"353",2005,"South Carolina","Oral Cavity and Pharynx","13.1","594",4270150
"354",2005,"South Dakota","Oral Cavity and Pharynx","9.2","80",775493
"355",2005,"Tennessee","Oral Cavity and Pharynx","11.4","730",5991057
"356",2005,"Texas","Oral Cavity and Pharynx","10.3","2122",22773020
"357",2005,"United States","Oral Cavity and Pharynx","10.8","33209",295516599
"358",2005,"Utah","Oral Cavity and Pharynx","8.6","165",2457719
"359",2005,"Vermont","Oral Cavity and Pharynx","10.6","75",621215
"360",2005,"Virginia","Oral Cavity and Pharynx","10.3","796",7577105
"361",2005,"Washington","Oral Cavity and Pharynx","10.9","702",6257305
"362",2005,"West Virginia","Oral Cavity and Pharynx","11.5","255",1820492
"363",2005,"Wisconsin","Oral Cavity and Pharynx","10.7","638",5546166
"364",2005,"Wyoming","Oral Cavity and Pharynx","8.8","50",514157
"365",2006,"Alabama","Oral Cavity and Pharynx","14.1","717",4628981
"366",2006,"Alaska","Oral Cavity and Pharynx","11.3","60",675302
"367",2006,"Arizona","Oral Cavity and Pharynx","9","561",6029141
"368",2006,"Arkansas","Oral Cavity and Pharynx","11.3","356",2821761
"369",2006,"California","Oral Cavity and Pharynx","10.2","3522",36021202
"370",2006,"Colorado","Oral Cavity and Pharynx","9.6","437",4720423
"371",2006,"Connecticut","Oral Cavity and Pharynx","11","436",3517460
"372",2006,"Delaware","Oral Cavity and Pharynx","10","94",859268
"373",2006,"District of Columbia","Oral Cavity and Pharynx","16.2","91",570681
"374",2006,"Florida","Oral Cavity and Pharynx","13.7","3019",18166990
"375",2006,"Georgia","Oral Cavity and Pharynx","10.8","933",9155813
"376",2006,"Hawaii","Oral Cavity and Pharynx","12.1","175",1309731
"377",2006,"Idaho","Oral Cavity and Pharynx","10.7","156",1468669
"378",2006,"Illinois","Oral Cavity and Pharynx","10.8","1402",12643955
"379",2006,"Indiana","Oral Cavity and Pharynx","11","730",6332669
"380",2006,"Iowa","Oral Cavity and Pharynx","12.1","409",2982644
"381",2006,"Kansas","Oral Cavity and Pharynx","10","293",2762931
"382",2006,"Kentucky","Oral Cavity and Pharynx","12.4","566",4219239
"383",2006,"Louisiana","Oral Cavity and Pharynx","11.5","517",4302665
"384",2006,"Maine","Oral Cavity and Pharynx","12.2","198",1323619
"385",2006,"Maryland","Oral Cavity and Pharynx","9.3","542",5627367
"386",2006,"Massachusetts","Oral Cavity and Pharynx","11.5","814",6410084
"387",2006,"Michigan","Oral Cavity and Pharynx","11.6","1265",10036081
"388",2006,"Minnesota","Oral Cavity and Pharynx","11.2","601",5163555
"389",2006,"Mississippi","Oral Cavity and Pharynx","13","391",2904978
"390",2006,"Missouri","Oral Cavity and Pharynx","10.5","675",5842704
"391",2006,"Montana","Oral Cavity and Pharynx","11.6","126",952692
"392",2006,"Nebraska","Oral Cavity and Pharynx","11","210",1772693
"393",2006,"Nevada","Oral Cavity and Pharynx","10.6","266",2522658
"394",2006,"New Hampshire","Oral Cavity and Pharynx","9.7","142",1308389
"395",2006,"New Jersey","Oral Cavity and Pharynx","10.7","1010",8661679
"396",2006,"New Mexico","Oral Cavity and Pharynx","9.1","189",1962137
"397",2006,"New York","Oral Cavity and Pharynx","10","2077",19104631
"398",2006,"North Carolina","Oral Cavity and Pharynx","10.7","1016",8917270
"399",2006,"North Dakota","Oral Cavity and Pharynx","10.9","81",649422
"400",2006,"Ohio","Oral Cavity and Pharynx","10","1265",11481213
"401",2006,"Oklahoma","Oral Cavity and Pharynx","13.2","508",3594090
"402",2006,"Oregon","Oral Cavity and Pharynx","10.6","433",3670883
"403",2006,"Pennsylvania","Oral Cavity and Pharynx","10.6","1571",12510809
"404",2006,"Rhode Island","Oral Cavity and Pharynx","11.1","129",1063096
"405",2006,"South Carolina","Oral Cavity and Pharynx","11.4","544",4357847
"406",2006,"South Dakota","Oral Cavity and Pharynx","9.2","81",783033
"407",2006,"Tennessee","Oral Cavity and Pharynx","11.5","764",6088766
"408",2006,"Texas","Oral Cavity and Pharynx","10.4","2214",23359580
"409",2006,"United States","Oral Cavity and Pharynx","10.9","34285",298379912
"410",2006,"Utah","Oral Cavity and Pharynx","7.3","146",2525507
"411",2006,"Vermont","Oral Cavity and Pharynx","13.7","101",622892
"412",2006,"Virginia","Oral Cavity and Pharynx","9.9","792",7673725
"413",2006,"Washington","Oral Cavity and Pharynx","10.9","726",6370753
"414",2006,"West Virginia","Oral Cavity and Pharynx","10.6","235",1827912
"415",2006,"Wisconsin","Oral Cavity and Pharynx","10.6","646",5577655
"416",2006,"Wyoming","Oral Cavity and Pharynx","9.1","53",522667
"417",2007,"Alabama","Oral Cavity and Pharynx","12.5","656",4672840
"418",2007,"Alaska","Oral Cavity and Pharynx","11.3","67",680300
"419",2007,"Arizona","Oral Cavity and Pharynx","9.4","610",6167681
"420",2007,"Arkansas","Oral Cavity and Pharynx","11.9","383",2848650
"421",2007,"California","Oral Cavity and Pharynx","10.4","3648",36250311
"422",2007,"Colorado","Oral Cavity and Pharynx","10","472",4803868
"423",2007,"Connecticut","Oral Cavity and Pharynx","10.5","421",3527270
"424",2007,"Delaware","Oral Cavity and Pharynx","11.9","119",871749
"425",2007,"District of Columbia","Oral Cavity and Pharynx","12.2","69",574404
"426",2007,"Florida","Oral Cavity and Pharynx","13.6","3088",18367842
"427",2007,"Georgia","Oral Cavity and Pharynx","12","1072",9349988
"428",2007,"Hawaii","Oral Cavity and Pharynx","11","164",1315675
"429",2007,"Idaho","Oral Cavity and Pharynx","11.2","169",1505105
"430",2007,"Illinois","Oral Cavity and Pharynx","11.5","1521",12695866
"431",2007,"Indiana","Oral Cavity and Pharynx","11.8","808",6379599
"432",2007,"Iowa","Oral Cavity and Pharynx","10.7","366",2999212
"433",2007,"Kansas","Oral Cavity and Pharynx","11.3","341",2783785
"434",2007,"Kentucky","Oral Cavity and Pharynx","13","610",4256672
"435",2007,"Louisiana","Oral Cavity and Pharynx","12.1","562",4375581
"436",2007,"Maine","Oral Cavity and Pharynx","12","196",1327040
"437",2007,"Maryland","Oral Cavity and Pharynx","10.1","601",5653408
"438",2007,"Massachusetts","Oral Cavity and Pharynx","11.2","806",6431559
"439",2007,"Michigan","Oral Cavity and Pharynx","11","1206",10001284
"440",2007,"Minnesota","Oral Cavity and Pharynx","12.1","664",5207203
"441",2007,"Mississippi","Oral Cavity and Pharynx","13","399",2928350
"442",2007,"Missouri","Oral Cavity and Pharynx","12.1","791",5887612
"443",2007,"Montana","Oral Cavity and Pharynx","10.7","123",964706
"444",2007,"Nebraska","Oral Cavity and Pharynx","11.4","222",1783440
"445",2007,"Nevada","Oral Cavity and Pharynx","10.2","272",2601072
"446",2007,"New Hampshire","Oral Cavity and Pharynx","10.5","156",1312540
"447",2007,"New Jersey","Oral Cavity and Pharynx","10","964",8677885
"448",2007,"New Mexico","Oral Cavity and Pharynx","10.4","222",1990070
"449",2007,"New York","Oral Cavity and Pharynx","10.7","2236",19132335
"450",2007,"North Carolina","Oral Cavity and Pharynx","11.6","1142",9118037
"451",2007,"North Dakota","Oral Cavity and Pharynx","8.6","63",652822
"452",2007,"Ohio","Oral Cavity and Pharynx","10","1292",11500468
"453",2007,"Oklahoma","Oral Cavity and Pharynx","11.5","453",3634349
"454",2007,"Oregon","Oral Cavity and Pharynx","11","457",3722417
"455",2007,"Pennsylvania","Oral Cavity and Pharynx","11","1639",12563937
"456",2007,"Rhode Island","Oral Cavity and Pharynx","11.1","135",1057315
"457",2007,"South Carolina","Oral Cavity and Pharynx","12.7","624",4444110
"458",2007,"South Dakota","Oral Cavity and Pharynx","9.6","86",791623
"459",2007,"Tennessee","Oral Cavity and Pharynx","11.3","762",6175727
"460",2007,"Texas","Oral Cavity and Pharynx","10.5","2333",23831983
"461",2007,"United States","Oral Cavity and Pharynx","11.2","35938",301231207
"462",2007,"Utah","Oral Cavity and Pharynx","7.7","158",2597746
"463",2007,"Vermont","Oral Cavity and Pharynx","11.7","88",623481
"464",2007,"Virginia","Oral Cavity and Pharynx","11.7","946",7751000
"465",2007,"Washington","Oral Cavity and Pharynx","11.2","768",6461587
"466",2007,"West Virginia","Oral Cavity and Pharynx","12","275",1834052
"467",2007,"Wisconsin","Oral Cavity and Pharynx","10.6","656",5610775
"468",2007,"Wyoming","Oral Cavity and Pharynx","10","57",534876
"469",2008,"Alabama","Oral Cavity and Pharynx","13.2","699",4718206
"470",2008,"Alaska","Oral Cavity and Pharynx","10.1","65",687455
"471",2008,"Arizona","Oral Cavity and Pharynx","9.5","634",6280362
"472",2008,"Arkansas","Oral Cavity and Pharynx","12.8","415",2874554
"473",2008,"California","Oral Cavity and Pharynx","10.8","3866",36604337
"474",2008,"Colorado","Oral Cavity and Pharynx","10.1","499",4889730
"475",2008,"Connecticut","Oral Cavity and Pharynx","10.7","448",3545579
"476",2008,"Delaware","Oral Cavity and Pharynx","12.3","125",883874
