"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"400",2006,"Ohio","Liver and Intrahepatic Bile Duct",4.6,583,11481213
"401",2006,"Oklahoma","Liver and Intrahepatic Bile Duct",4.8,188,3594090
"402",2006,"Oregon","Liver and Intrahepatic Bile Duct",4.5,184,3670883
"403",2006,"Pennsylvania","Liver and Intrahepatic Bile Duct",4.6,715,12510809
"404",2006,"Rhode Island","Liver and Intrahepatic Bile Duct",6.3,77,1063096
"405",2006,"South Carolina","Liver and Intrahepatic Bile Duct",5.1,231,4357847
"406",2006,"South Dakota","Liver and Intrahepatic Bile Duct",3.5,32,783033
"407",2006,"Tennessee","Liver and Intrahepatic Bile Duct",4.9,322,6088766
"408",2006,"Texas","Liver and Intrahepatic Bile Duct",7.1,1446,23359580
"409",2006,"United States","Liver and Intrahepatic Bile Duct",5.3,16525,298379912
"410",2006,"Utah","Liver and Intrahepatic Bile Duct",3.1,60,2525507
"411",2006,"Vermont","Liver and Intrahepatic Bile Duct",3.9,27,622892
"412",2006,"Virginia","Liver and Intrahepatic Bile Duct",4.7,360,7673725
"413",2006,"Washington","Liver and Intrahepatic Bile Duct",5.7,370,6370753
"414",2006,"West Virginia","Liver and Intrahepatic Bile Duct",3.7,86,1827912
"415",2006,"Wisconsin","Liver and Intrahepatic Bile Duct",4.7,284,5577655
"416",2006,"Wyoming","Liver and Intrahepatic Bile Duct",5.6,29,522667
"417",2007,"Alabama","Liver and Intrahepatic Bile Duct",6,305,4672840
"418",2007,"Alaska","Liver and Intrahepatic Bile Duct",4.5,23,680300
"419",2007,"Arizona","Liver and Intrahepatic Bile Duct",5.3,341,6167681
"420",2007,"Arkansas","Liver and Intrahepatic Bile Duct",5.9,191,2848650
"421",2007,"California","Liver and Intrahepatic Bile Duct",6.7,2323,36250311
"422",2007,"Colorado","Liver and Intrahepatic Bile Duct",4.6,213,4803868
"423",2007,"Connecticut","Liver and Intrahepatic Bile Duct",4.1,166,3527270
"424",2007,"Delaware","Liver and Intrahepatic Bile Duct",5.2,51,871749
"425",2007,"District of Columbia","Liver and Intrahepatic Bile Duct",8.1,46,574404
"426",2007,"Florida","Liver and Intrahepatic Bile Duct",5.1,1195,18367842
"427",2007,"Georgia","Liver and Intrahepatic Bile Duct",5,424,9349988
"428",2007,"Hawaii","Liver and Intrahepatic Bile Duct",6.8,104,1315675
"429",2007,"Idaho","Liver and Intrahepatic Bile Duct",3.6,52,1505105
"430",2007,"Illinois","Liver and Intrahepatic Bile Duct",4.9,631,12695866
"431",2007,"Indiana","Liver and Intrahepatic Bile Duct",4.3,285,6379599
"432",2007,"Iowa","Liver and Intrahepatic Bile Duct",4.2,152,2999212
"433",2007,"Kansas","Liver and Intrahepatic Bile Duct",4,120,2783785
"434",2007,"Kentucky","Liver and Intrahepatic Bile Duct",4.9,221,4256672
"435",2007,"Louisiana","Liver and Intrahepatic Bile Duct",7.1,322,4375581
"436",2007,"Maine","Liver and Intrahepatic Bile Duct",4.6,78,1327040
"437",2007,"Maryland","Liver and Intrahepatic Bile Duct",5.2,306,5653408
"438",2007,"Massachusetts","Liver and Intrahepatic Bile Duct",5.7,412,6431559
"439",2007,"Michigan","Liver and Intrahepatic Bile Duct",4.9,532,10001284
"440",2007,"Minnesota","Liver and Intrahepatic Bile Duct",5,274,5207203
"441",2007,"Mississippi","Liver and Intrahepatic Bile Duct",6.4,189,2928350
"442",2007,"Missouri","Liver and Intrahepatic Bile Duct",5.1,335,5887612
"443",2007,"Montana","Liver and Intrahepatic Bile Duct",4,47,964706
"444",2007,"Nebraska","Liver and Intrahepatic Bile Duct",3.8,74,1783440
"445",2007,"Nevada","Liver and Intrahepatic Bile Duct",6.5,164,2601072
"446",2007,"New Hampshire","Liver and Intrahepatic Bile Duct",5.1,69,1312540
"447",2007,"New Jersey","Liver and Intrahepatic Bile Duct",4.7,453,8677885
"448",2007,"New Mexico","Liver and Intrahepatic Bile Duct",6.5,137,1990070
"449",2007,"New York","Liver and Intrahepatic Bile Duct",5.6,1169,19132335
"450",2007,"North Carolina","Liver and Intrahepatic Bile Duct",4.7,451,9118037
"451",2007,"North Dakota","Liver and Intrahepatic Bile Duct",3.9,30,652822
"452",2007,"Ohio","Liver and Intrahepatic Bile Duct",4.7,617,11500468
"453",2007,"Oklahoma","Liver and Intrahepatic Bile Duct",5.3,208,3634349
"454",2007,"Oregon","Liver and Intrahepatic Bile Duct",4.7,199,3722417
"455",2007,"Pennsylvania","Liver and Intrahepatic Bile Duct",5.2,797,12563937
"456",2007,"Rhode Island","Liver and Intrahepatic Bile Duct",5.2,65,1057315
"457",2007,"South Carolina","Liver and Intrahepatic Bile Duct",4.9,233,4444110
"458",2007,"South Dakota","Liver and Intrahepatic Bile Duct",4,36,791623
"459",2007,"Tennessee","Liver and Intrahepatic Bile Duct",5.2,347,6175727
"460",2007,"Texas","Liver and Intrahepatic Bile Duct",6.9,1449,23831983
"461",2007,"United States","Liver and Intrahepatic Bile Duct",5.4,17146,301231207
"462",2007,"Utah","Liver and Intrahepatic Bile Duct",4.3,84,2597746
"463",2007,"Vermont","Liver and Intrahepatic Bile Duct",3.6,26,623481
"464",2007,"Virginia","Liver and Intrahepatic Bile Duct",4.8,382,7751000
"465",2007,"Washington","Liver and Intrahepatic Bile Duct",5.8,387,6461587
"466",2007,"West Virginia","Liver and Intrahepatic Bile Duct",5,113,1834052
"467",2007,"Wisconsin","Liver and Intrahepatic Bile Duct",4.7,294,5610775
"468",2007,"Wyoming","Liver and Intrahepatic Bile Duct",4.2,24,534876
"469",2008,"Alabama","Liver and Intrahepatic Bile Duct",5.9,311,4718206
"470",2008,"Alaska","Liver and Intrahepatic Bile Duct",6.7,37,687455
"471",2008,"Arizona","Liver and Intrahepatic Bile Duct",5.3,354,6280362
"472",2008,"Arkansas","Liver and Intrahepatic Bile Duct",5.3,173,2874554
"473",2008,"California","Liver and Intrahepatic Bile Duct",6.8,2393,36604337
"474",2008,"Colorado","Liver and Intrahepatic Bile Duct",5.2,241,4889730
"475",2008,"Connecticut","Liver and Intrahepatic Bile Duct",5.2,213,3545579
"476",2008,"Delaware","Liver and Intrahepatic Bile Duct",5.8,60,883874
"477",2008,"District of Columbia","Liver and Intrahepatic Bile Duct",9,53,580236
"478",2008,"Florida","Liver and Intrahepatic Bile Duct",5.3,1255,18527305
"479",2008,"Georgia","Liver and Intrahepatic Bile Duct",4.9,420,9504843
"480",2008,"Hawaii","Liver and Intrahepatic Bile Duct",7.3,114,1332213
"481",2008,"Idaho","Liver and Intrahepatic Bile Duct",3.6,55,1534320
"482",2008,"Illinois","Liver and Intrahepatic Bile Duct",5.3,706,12747038
"483",2008,"Indiana","Liver and Intrahepatic Bile Duct",4.7,325,6424806
"484",2008,"Iowa","Liver and Intrahepatic Bile Duct",4.6,165,3016734
"485",2008,"Kansas","Liver and Intrahepatic Bile Duct",4.4,140,2808076
"486",2008,"Kentucky","Liver and Intrahepatic Bile Duct",4.4,208,4289878
"487",2008,"Louisiana","Liver and Intrahepatic Bile Duct",7.8,357,4435586
"488",2008,"Maine","Liver and Intrahepatic Bile Duct",3.7,63,1330509
"489",2008,"Maryland","Liver and Intrahepatic Bile Duct",5.8,340,5684965
"490",2008,"Massachusetts","Liver and Intrahepatic Bile Duct",6,445,6468967
"491",2008,"Michigan","Liver and Intrahepatic Bile Duct",5.5,617,9946889
"492",2008,"Minnesota","Liver and Intrahepatic Bile Duct",4.8,267,5247018
"493",2008,"Mississippi","Liver and Intrahepatic Bile Duct",7.3,224,2947806
"494",2008,"Missouri","Liver and Intrahepatic Bile Duct",5,340,5923916
"495",2008,"Montana","Liver and Intrahepatic Bile Duct",3.4,41,976415
"496",2008,"Nebraska","Liver and Intrahepatic Bile Duct",3.3,64,1796378
