state,county,sex,year,total_mean
Colorado,Pitkin County,Females,2002,15.3
Colorado,Prowers County,Males,2002,27.33
Colorado,Prowers County,Females,2002,22.73
Colorado,Pueblo County,Males,2002,28.35
Colorado,Pueblo County,Females,2002,26.62
Colorado,Rio Blanco County,Males,2002,24.57
Colorado,Rio Blanco County,Females,2002,19.37
Colorado,Rio Grande County,Males,2002,24.97
Colorado,Rio Grande County,Females,2002,21.28
Colorado,Routt County,Males,2002,20.53
Colorado,Routt County,Females,2002,16.72
Colorado,Saguache County,Males,2002,25.34
Colorado,Saguache County,Females,2002,21.78
Colorado,San Juan County,Males,2002,19.33
Colorado,San Juan County,Females,2002,17.46
Colorado,San Miguel County,Males,2002,17.11
Colorado,San Miguel County,Females,2002,16.02
Colorado,Sedgwick County,Males,2002,26.18
Colorado,Sedgwick County,Females,2002,22.48
Colorado,Summit County,Males,2002,20.47
Colorado,Summit County,Females,2002,15.32
Colorado,Teller County,Males,2002,22.73
Colorado,Teller County,Females,2002,21.02
Colorado,Washington County,Males,2002,24.8
Colorado,Washington County,Females,2002,21.49
Colorado,Yuma County,Males,2002,25.36
Colorado,Yuma County,Females,2002,20.85
Connecticut,Fairfield County,Males,2002,20.91
Connecticut,Fairfield County,Females,2002,18.44
Connecticut,Hartford County,Males,2002,24.12
Connecticut,Hartford County,Females,2002,21.18
Connecticut,Litchfield County,Males,2002,24.32
Connecticut,Litchfield County,Females,2002,21.49
Connecticut,Middlesex County,Males,2002,23.99
Connecticut,Middlesex County,Females,2002,20.88
Connecticut,New Haven County,Males,2002,25.55
Connecticut,New Haven County,Females,2002,22.78
Connecticut,New London County,Males,2002,25.33
Connecticut,New London County,Females,2002,24.41
Connecticut,Tolland County,Males,2002,21.5
Connecticut,Tolland County,Females,2002,21.67
Connecticut,Windham County,Males,2002,27.84
Connecticut,Windham County,Females,2002,26.68
Delaware,Kent County,Males,2002,28.69
Delaware,Kent County,Females,2002,23.4
Delaware,New Castle County,Males,2002,26.75
Delaware,New Castle County,Females,2002,22.0
Delaware,Sussex County,Males,2002,31.62
Delaware,Sussex County,Females,2002,25.36
District Of Columbia,District of Columbia,Males,2002,27.07
District Of Columbia,District of Columbia,Females,2002,20.88
Florida,Alachua County,Males,2002,23.8
Florida,Alachua County,Females,2002,18.69
Florida,Baker County,Males,2002,33.45
Florida,Baker County,Females,2002,27.95
Florida,Bay County,Males,2002,32.61
Florida,Bay County,Females,2002,25.67
Florida,Bradford County,Males,2002,33.58
Florida,Bradford County,Females,2002,26.75
Florida,Brevard County,Males,2002,29.02
Florida,Brevard County,Females,2002,28.17
Florida,Broward County,Males,2002,25.62
Florida,Broward County,Females,2002,20.78
Florida,Calhoun County,Males,2002,34.84
Florida,Calhoun County,Females,2002,27.74
Florida,Charlotte County,Males,2002,31.68
Florida,Charlotte County,Females,2002,25.58
Florida,Citrus County,Males,2002,30.58
Florida,Citrus County,Females,2002,29.72
Florida,Clay County,Males,2002,27.84
Florida,Clay County,Females,2002,25.77
Florida,Collier County,Males,2002,27.18
Florida,Collier County,Females,2002,21.0
Florida,Columbia County,Males,2002,33.1
Florida,Columbia County,Females,2002,25.06
Florida,DeSoto County,Males,2002,32.51
Florida,DeSoto County,Females,2002,27.24
Florida,Dixie County,Males,2002,35.36
Florida,Dixie County,Females,2002,31.13
Florida,Duval County,Males,2002,28.6
