"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"425",2007,"District of Columbia","Female Breast",33.2,107,302949
"426",2007,"Florida","Female Breast",20.9,2631,9378587
"427",2007,"Georgia","Female Breast",22.8,1089,4777572
"428",2007,"Hawaii","Female Breast",16.8,134,657185
"429",2007,"Idaho","Female Breast",21.6,169,750127
"430",2007,"Illinois","Female Breast",24.6,1806,6467577
"431",2007,"Indiana","Female Breast",24,902,3241454
"432",2007,"Iowa","Female Breast",20.4,418,1518023
"433",2007,"Kansas","Female Breast",23.5,397,1405705
"434",2007,"Kentucky","Female Breast",24.6,623,2164210
"435",2007,"Louisiana","Female Breast",24.3,601,2239125
"436",2007,"Maine","Female Breast",20.1,184,677797
"437",2007,"Maryland","Female Breast",24.7,814,2920109
"438",2007,"Massachusetts","Female Breast",20.2,839,3321653
"439",2007,"Michigan","Female Breast",24,1458,5091035
"440",2007,"Minnesota","Female Breast",20.9,640,2622551
"441",2007,"Mississippi","Female Breast",23.8,401,1507071
"442",2007,"Missouri","Female Breast",24.2,882,3007493
"443",2007,"Montana","Female Breast",19.3,118,480939
"444",2007,"Nebraska","Female Breast",21.5,232,900106
"445",2007,"Nevada","Female Breast",23.2,300,1284052
"446",2007,"New Hampshire","Female Breast",23.1,184,664987
"447",2007,"New Jersey","Female Breast",26,1418,4455148
"448",2007,"New Mexico","Female Breast",20.1,229,1007922
"449",2007,"New York","Female Breast",22.9,2744,9881510
"450",2007,"North Carolina","Female Breast",24.2,1290,4677313
"451",2007,"North Dakota","Female Breast",23.1,102,324066
"452",2007,"Ohio","Female Breast",25,1820,5890965
"453",2007,"Oklahoma","Female Breast",25,541,1837175
"454",2007,"Oregon","Female Breast",21.2,491,1879347
"455",2007,"Pennsylvania","Female Breast",23.6,2072,6452087
"456",2007,"Rhode Island","Female Breast",22,157,546859
"457",2007,"South Carolina","Female Breast",23.7,633,2280792
"458",2007,"South Dakota","Female Breast",21,113,396650
"459",2007,"Tennessee","Female Breast",23.7,882,3162280
"460",2007,"Texas","Female Breast",22.7,2641,12010572
"461",2007,"United States","Female Breast",23,40598,153166353
"462",2007,"Utah","Female Breast",20.6,217,1292672
"463",2007,"Vermont","Female Breast",24.6,99,316538
"464",2007,"Virginia","Female Breast",24.8,1085,3947966
"465",2007,"Washington","Female Breast",22,799,3247800
"466",2007,"West Virginia","Female Breast",22.2,283,932683
"467",2007,"Wisconsin","Female Breast",20.8,723,2827782
"468",2007,"Wyoming","Female Breast",23.7,67,262776
"469",2008,"Alabama","Female Breast",23.3,686,2430257
"470",2008,"Alaska","Female Breast",17.8,48,329412
"471",2008,"Arizona","Female Breast",20.6,734,3155278
"472",2008,"Arkansas","Female Breast",21.4,382,1464220
"473",2008,"California","Female Breast",21.6,4204,18396972
"474",2008,"Colorado","Female Breast",18.9,484,2439060
"475",2008,"Connecticut","Female Breast",21,494,1820749
"476",2008,"Delaware","Female Breast",23.2,130,455481
"477",2008,"District of Columbia","Female Breast",28,92,306265
"478",2008,"Florida","Female Breast",21.2,2705,9465279
"479",2008,"Georgia","Female Breast",22.2,1085,4856984
"480",2008,"Hawaii","Female Breast",16.3,130,665313
"481",2008,"Idaho","Female Breast",22,179,764792
"482",2008,"Illinois","Female Breast",23.8,1780,6493537
"483",2008,"Indiana","Female Breast",23.9,917,3263963
"484",2008,"Iowa","Female Breast",23.5,465,1525539
"485",2008,"Kansas","Female Breast",21.9,370,1415563
"486",2008,"Kentucky","Female Breast",21.8,562,2183532
"487",2008,"Louisiana","Female Breast",26.1,657,2269630
"488",2008,"Maine","Female Breast",21.7,199,679413
"489",2008,"Maryland","Female Breast",25,826,2935788
"490",2008,"Massachusetts","Female Breast",21.3,895,3340730
"491",2008,"Michigan","Female Breast",24.3,1478,5065899
"492",2008,"Minnesota","Female Breast",21.5,673,2642672
"493",2008,"Mississippi","Female Breast",24.9,421,1516955
"494",2008,"Missouri","Female Breast",25,917,3024837
"495",2008,"Montana","Female Breast",16.9,104,486477
"496",2008,"Nebraska","Female Breast",20.7,230,905814
"497",2008,"Nevada","Female Breast",23.4,312,1310601
"498",2008,"New Hampshire","Female Breast",23.6,191,666576
"499",2008,"New Jersey","Female Breast",25.6,1409,4469901
"500",2008,"New Mexico","Female Breast",19.5,226,1018578
"501",2008,"New York","Female Breast",21.9,2658,9918841
