"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"448",2007,"New Mexico","Lung and Bronchus",37.7,772,1990070
"449",2007,"New York","Lung and Bronchus",45,9349,19132335
"450",2007,"North Carolina","Lung and Bronchus",56.8,5349,9118037
"451",2007,"North Dakota","Lung and Bronchus",40.1,302,652822
"452",2007,"Ohio","Lung and Bronchus",58.4,7465,11500468
"453",2007,"Oklahoma","Lung and Bronchus",63.5,2489,3634349
"454",2007,"Oregon","Lung and Bronchus",49.7,2033,3722417
"455",2007,"Pennsylvania","Lung and Bronchus",51.4,7944,12563937
"456",2007,"Rhode Island","Lung and Bronchus",54.2,665,1057315
"457",2007,"South Carolina","Lung and Bronchus",56.4,2698,4444110
"458",2007,"South Dakota","Lung and Bronchus",47.2,424,791623
"459",2007,"Tennessee","Lung and Bronchus",65.8,4343,6175727
"460",2007,"Texas","Lung and Bronchus",47.7,9624,23831983
"461",2007,"United States","Lung and Bronchus",50.7,158683,301231207
"462",2007,"Utah","Lung and Bronchus",22.9,437,2597746
"463",2007,"Vermont","Lung and Bronchus",56.3,404,623481
"464",2007,"Virginia","Lung and Bronchus",53.3,4061,7751000
"465",2007,"Washington","Lung and Bronchus",50.1,3179,6461587
"466",2007,"West Virginia","Lung and Bronchus",64.9,1505,1834052
"467",2007,"Wisconsin","Lung and Bronchus",48.2,2915,5610775
"468",2007,"Wyoming","Lung and Bronchus",45.5,249,534876
"469",2008,"Alabama","Lung and Bronchus",58.8,3079,4718206
"470",2008,"Alaska","Lung and Bronchus",53.7,258,687455
"471",2008,"Arizona","Lung and Bronchus",40.2,2669,6280362
"472",2008,"Arkansas","Lung and Bronchus",67.5,2218,2874554
"473",2008,"California","Lung and Bronchus",38.6,13067,36604337
"474",2008,"Colorado","Lung and Bronchus",36.6,1600,4889730
"475",2008,"Connecticut","Lung and Bronchus",42.4,1744,3545579
"476",2008,"Delaware","Lung and Bronchus",57.3,571,883874
"477",2008,"District of Columbia","Lung and Bronchus",52.5,294,580236
"478",2008,"Florida","Lung and Bronchus",49.1,11963,18527305
"479",2008,"Georgia","Lung and Bronchus",51.8,4325,9504843
"480",2008,"Hawaii","Lung and Bronchus",36.4,555,1332213
"481",2008,"Idaho","Lung and Bronchus",41.9,631,1534320
"482",2008,"Illinois","Lung and Bronchus",52.2,6809,12747038
"483",2008,"Indiana","Lung and Bronchus",61.8,4170,6424806
"484",2008,"Iowa","Lung and Bronchus",50,1791,3016734
"485",2008,"Kansas","Lung and Bronchus",51.6,1556,2808076
"486",2008,"Kentucky","Lung and Bronchus",74.4,3478,4289878
"487",2008,"Louisiana","Lung and Bronchus",60.1,2707,4435586
"488",2008,"Maine","Lung and Bronchus",55.6,931,1330509
"489",2008,"Maryland","Lung and Bronchus",50.3,2872,5684965
"490",2008,"Massachusetts","Lung and Bronchus",49,3552,6468967
"491",2008,"Michigan","Lung and Bronchus",54,5898,9946889
"492",2008,"Minnesota","Lung and Bronchus",44.9,2432,5247018
"493",2008,"Mississippi","Lung and Bronchus",65.3,1995,2947806
"494",2008,"Missouri","Lung and Bronchus",59.7,3943,5923916
"495",2008,"Montana","Lung and Bronchus",47.4,541,976415
"496",2008,"Nebraska","Lung and Bronchus",45.1,884,1796378
"497",2008,"Nevada","Lung and Bronchus",53.4,1327,2653630
"498",2008,"New Hampshire","Lung and Bronchus",47.3,684,1315906
"499",2008,"New Jersey","Lung and Bronchus",44.8,4273,8711090
"500",2008,"New Mexico","Lung and Bronchus",36.6,767,2010662
"501",2008,"New York","Lung and Bronchus",43.8,9230,19212436
"502",2008,"North Carolina","Lung and Bronchus",55.2,5369,9309449
"503",2008,"North Dakota","Lung and Bronchus",44.3,338,657569
"504",2008,"Ohio","Lung and Bronchus",56.5,7345,11515391
"505",2008,"Oklahoma","Lung and Bronchus",59.6,2386,3668976
"506",2008,"Oregon","Lung and Bronchus",49.6,2079,3768748
"507",2008,"Pennsylvania","Lung and Bronchus",50.8,7950,12612285
"508",2008,"Rhode Island","Lung and Bronchus",55.8,692,1055003
"509",2008,"South Carolina","Lung and Bronchus",55.9,2759,4528996
"510",2008,"South Dakota","Lung and Bronchus",47.8,444,799124
"511",2008,"Tennessee","Lung and Bronchus",63.5,4296,6247411
"512",2008,"Texas","Lung and Bronchus",46.3,9647,24309039
"513",2008,"United States","Lung and Bronchus",49.6,158592,304093966
"514",2008,"Utah","Lung and Bronchus",18.8,371,2663029
"515",2008,"Vermont","Lung and Bronchus",52.4,380,624151
"516",2008,"Virginia","Lung and Bronchus",51.1,3969,7833496
"517",2008,"Washington","Lung and Bronchus",48.6,3150,6562231
"518",2008,"West Virginia","Lung and Bronchus",62.2,1468,1840310
"519",2008,"Wisconsin","Lung and Bronchus",46.9,2912,5640996
"520",2008,"Wyoming","Lung and Bronchus",41,223,546043
"521",2009,"Alabama","Lung and Bronchus",61.4,3287,4757938
"522",2009,"Alaska","Lung and Bronchus",56.5,266,698895
"523",2009,"Arizona","Lung and Bronchus",40,2725,6343154
"524",2009,"Arkansas","Lung and Bronchus",64.7,2151,2896843
"525",2009,"California","Lung and Bronchus",37.9,13119,36961229
"526",2009,"Colorado","Lung and Bronchus",36.4,1639,4972195
"527",2009,"Connecticut","Lung and Bronchus",43.1,1772,3561807
"528",2009,"Delaware","Lung and Bronchus",51.5,531,891730
"529",2009,"District of Columbia","Lung and Bronchus",41.4,236,592228
"530",2009,"Florida","Lung and Bronchus",47.8,11903,18652644
"531",2009,"Georgia","Lung and Bronchus",52,4505,9620846
"532",2009,"Hawaii","Lung and Bronchus",34.6,544,1346717
"533",2009,"Idaho","Lung and Bronchus",41.4,641,1554439
"534",2009,"Illinois","Lung and Bronchus",50.3,6646,12796778
"535",2009,"Indiana","Lung and Bronchus",59.4,4067,6459325
"536",2009,"Iowa","Lung and Bronchus",48.6,1758,3032870
"537",2009,"Kansas","Lung and Bronchus",51.4,1571,2832704
"538",2009,"Kentucky","Lung and Bronchus",68.8,3292,4317074
"539",2009,"Louisiana","Lung and Bronchus",58.6,2704,4491648
"540",2009,"Maine","Lung and Bronchus",53.7,912,1329590
"541",2009,"Maryland","Lung and Bronchus",48.6,2843,5730388
"542",2009,"Massachusetts","Lung and Bronchus",48.9,3574,6517613
"543",2009,"Michigan","Lung and Bronchus",54.2,6006,9901591
"544",2009,"Minnesota","Lung and Bronchus",43.1,2400,5281203
"545",2009,"Mississippi","Lung and Bronchus",62.4,1931,2958774
"546",2009,"Missouri","Lung and Bronchus",57.1,3845,5961088
"547",2009,"Montana","Lung and Bronchus",40.4,477,983982
"548",2009,"Nebraska","Lung and Bronchus",44.2,883,1812683
"549",2009,"Nevada","Lung and Bronchus",51.9,1329,2684665
"550",2009,"New Hampshire","Lung and Bronchus",50.9,747,1316102
"551",2009,"New Jersey","Lung and Bronchus",42.9,4161,8755602
"552",2009,"New Mexico","Lung and Bronchus",32.5,700,2036802
