Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2004,Rhode Island,Liver and Intrahepatic Bile Duct,5.9,72,1074579
2004,South Carolina,Liver and Intrahepatic Bile Duct,4.5,195,4210921
2004,South Dakota,Liver and Intrahepatic Bile Duct,3.9,34,770396
2004,Tennessee,Liver and Intrahepatic Bile Duct,4.9,302,5910809
2004,Texas,Liver and Intrahepatic Bile Duct,7,1330,22394023
2004,United States,Liver and Intrahepatic Bile Duct,5.1,15321,292805298
2004,Utah,Liver and Intrahepatic Bile Duct,3.2,57,2401580
2004,Vermont,Liver and Intrahepatic Bile Duct,4.1,28,619920
2004,Virginia,Liver and Intrahepatic Bile Duct,4.5,327,7475575
2004,Washington,Liver and Intrahepatic Bile Duct,5.6,346,6178645
2004,West Virginia,Liver and Intrahepatic Bile Duct,4.5,100,1816438
2004,Wisconsin,Liver and Intrahepatic Bile Duct,4.8,282,5514026
2004,Wyoming,Liver and Intrahepatic Bile Duct,3.2,17,509106
2005,Alabama,Liver and Intrahepatic Bile Duct,4.6,228,4565917
2005,Alaska,Liver and Intrahepatic Bile Duct,5.5,25,666946
2005,Arizona,Liver and Intrahepatic Bile Duct,5.2,313,5839077
2005,Arkansas,Liver and Intrahepatic Bile Duct,5.9,181,2781097
2005,California,Liver and Intrahepatic Bile Duct,6.7,2185,35827943
2005,Colorado,Liver and Intrahepatic Bile Duct,4.4,182,4631888
2005,Connecticut,Liver and Intrahepatic Bile Duct,4.9,190,3506956
2005,Delaware,Liver and Intrahepatic Bile Duct,5.7,51,845150
2005,District of Columbia,Liver and Intrahepatic Bile Duct,7,39,567136
2005,Florida,Liver and Intrahepatic Bile Duct,5.2,1163,17842038
2005,Georgia,Liver and Intrahepatic Bile Duct,4.5,350,8925922
2005,Hawaii,Liver and Intrahepatic Bile Duct,7.9,113,1292729
2005,Idaho,Liver and Intrahepatic Bile Duct,4.7,66,1428241
2005,Illinois,Liver and Intrahepatic Bile Duct,5.3,668,12609903
2005,Indiana,Liver and Intrahepatic Bile Duct,5.4,342,6278616
2005,Iowa,Liver and Intrahepatic Bile Duct,3.7,130,2964454
2005,Kansas,Liver and Intrahepatic Bile Duct,4.6,133,2745299
2005,Kentucky,Liver and Intrahepatic Bile Duct,5.3,231,4182742
2005,Louisiana,Liver and Intrahepatic Bile Duct,7.2,312,4411396
2005,Maine,Liver and Intrahepatic Bile Duct,4.6,72,1318787
2005,Maryland,Liver and Intrahepatic Bile Duct,5,277,5592379
2005,Massachusetts,Liver and Intrahepatic Bile Duct,5.6,395,6403290
2005,Michigan,Liver and Intrahepatic Bile Duct,4.6,491,10051137
2005,Minnesota,Liver and Intrahepatic Bile Duct,4.7,244,5119598
2005,Mississippi,Liver and Intrahepatic Bile Duct,6,174,2876229
2005,Missouri,Liver and Intrahepatic Bile Duct,4.9,309,5790300
2005,Montana,Liver and Intrahepatic Bile Duct,3.7,41,940102
2005,Nebraska,Liver and Intrahepatic Bile Duct,3.4,64,1761497
2005,Nevada,Liver and Intrahepatic Bile Duct,5.9,133,2432143
2005,New Hampshire,Liver and Intrahepatic Bile Duct,4.7,65,1298492
2005,New Jersey,Liver and Intrahepatic Bile Duct,5.1,477,8651974
2005,New Mexico,Liver and Intrahepatic Bile Duct,5.6,111,1932274
2005,New York,Liver and Intrahepatic Bile Duct,5.4,1112,19132610
2005,North Carolina,Liver and Intrahepatic Bile Duct,4.4,396,8705407
2005,North Dakota,Liver and Intrahepatic Bile Duct,4.5,35,646089
2005,Ohio,Liver and Intrahepatic Bile Duct,4.4,552,11463320
2005,Oklahoma,Liver and Intrahepatic Bile Duct,5,189,3548597
2005,Oregon,Liver and Intrahepatic Bile Duct,4.6,185,3613202
2005,Pennsylvania,Liver and Intrahepatic Bile Duct,4.7,707,12449990
2005,Rhode Island,Liver and Intrahepatic Bile Duct,3.6,45,1067916
2005,South Carolina,Liver and Intrahepatic Bile Duct,5,224,4270150
2005,South Dakota,Liver and Intrahepatic Bile Duct,5,43,775493
2005,Tennessee,Liver and Intrahepatic Bile Duct,4.5,284,5991057
2005,Texas,Liver and Intrahepatic Bile Duct,7.2,1417,22773020
2005,United States,Liver and Intrahepatic Bile Duct,5.3,16075,295516599
2005,Utah,Liver and Intrahepatic Bile Duct,3.7,70,2457719
2005,Vermont,Liver and Intrahepatic Bile Duct,2.5,18,621215
2005,Virginia,Liver and Intrahepatic Bile Duct,4.3,322,7577105
2005,Washington,Liver and Intrahepatic Bile Duct,5,317,6257305
2005,West Virginia,Liver and Intrahepatic Bile Duct,4.3,96,1820492
2005,Wisconsin,Liver and Intrahepatic Bile Duct,4.8,288,5546166
2005,Wyoming,Liver and Intrahepatic Bile Duct,3.7,20,514157
2006,Alabama,Liver and Intrahepatic Bile Duct,5,250,4628981
2006,Alaska,Liver and Intrahepatic Bile Duct,5.1,26,675302
2006,Arizona,Liver and Intrahepatic Bile Duct,4.7,291,6029141
2006,Arkansas,Liver and Intrahepatic Bile Duct,5.4,172,2821761
2006,California,Liver and Intrahepatic Bile Duct,6.4,2155,36021202
2006,Colorado,Liver and Intrahepatic Bile Duct,4.2,182,4720423
2006,Connecticut,Liver and Intrahepatic Bile Duct,5.1,204,3517460
2006,Delaware,Liver and Intrahepatic Bile Duct,4,39,859268
2006,District of Columbia,Liver and Intrahepatic Bile Duct,6,34,570681
2006,Florida,Liver and Intrahepatic Bile Duct,5.2,1201,18166990
2006,Georgia,Liver and Intrahepatic Bile Duct,4.7,386,9155813
2006,Hawaii,Liver and Intrahepatic Bile Duct,6.5,96,1309731
2006,Idaho,Liver and Intrahepatic Bile Duct,4.3,62,1468669
2006,Illinois,Liver and Intrahepatic Bile Duct,5.2,670,12643955
2006,Indiana,Liver and Intrahepatic Bile Duct,4.7,315,6332669
2006,Iowa,Liver and Intrahepatic Bile Duct,3.9,140,2982644
2006,Kansas,Liver and Intrahepatic Bile Duct,4.5,134,2762931
2006,Kentucky,Liver and Intrahepatic Bile Duct,4.8,219,4219239
2006,Louisiana,Liver and Intrahepatic Bile Duct,6.3,278,4302665
