Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2004,Wyoming,Female Breast,24.9,70,251506
2005,Alabama,Female Breast,27.4,751,2354514
2005,Alaska,Female Breast,17.9,47,320920
2005,Arizona,Female Breast,21.1,683,2930811
2005,Arkansas,Female Breast,24.3,409,1418295
2005,California,Female Breast,22.8,4168,17996230
2005,Colorado,Female Breast,22.3,516,2308238
2005,Connecticut,Female Breast,23.5,532,1802068
2005,Delaware,Female Breast,23.5,118,435227
2005,District of Columbia,Female Breast,29,95,299613
2005,Florida,Female Breast,22.3,2693,9117950
2005,Georgia,Female Breast,23.6,1057,4555263
2005,Hawaii,Female Breast,19.5,151,644813
2005,Idaho,Female Breast,19.3,143,711983
2005,Illinois,Female Breast,25.8,1865,6423831
2005,Indiana,Female Breast,22.7,827,3191481
2005,Iowa,Female Breast,21.2,422,1503019
2005,Kansas,Female Breast,23.8,386,1387958
2005,Kentucky,Female Breast,23.7,584,2129658
2005,Louisiana,Female Breast,30,735,2263201
2005,Maine,Female Breast,22.4,198,674104
2005,Maryland,Female Breast,25.7,821,2891761
2005,Massachusetts,Female Breast,23.1,940,3309010
2005,Michigan,Female Breast,24.1,1411,5114320
2005,Minnesota,Female Breast,22.4,657,2579546
2005,Mississippi,Female Breast,26.3,429,1482601
2005,Missouri,Female Breast,27.9,974,2962870
2005,Montana,Female Breast,23.7,134,469780
2005,Nebraska,Female Breast,23.9,258,889468
2005,Nevada,Female Breast,24.1,290,1198846
2005,New Hampshire,Female Breast,23.7,183,657932
2005,New Jersey,Female Breast,27,1438,4443545
2005,New Mexico,Female Breast,22.5,241,978520
2005,New York,Female Breast,24.3,2859,9887467
2005,North Carolina,Female Breast,25,1249,4457189
2005,North Dakota,Female Breast,22.5,93,321543
2005,Ohio,Female Breast,26.5,1867,5876703
2005,Oklahoma,Female Breast,25.1,521,1796475
2005,Oregon,Female Breast,21.9,474,1823447
2005,Pennsylvania,Female Breast,24.9,2132,6405053
2005,Rhode Island,Female Breast,24.6,173,552832
2005,South Carolina,Female Breast,26.2,655,2192345
2005,South Dakota,Female Breast,23.8,117,389021
2005,Tennessee,Female Breast,26.5,928,3068439
2005,Texas,Female Breast,23,2532,11467895
2005,United States,Female Breast,24.1,41116,150319521
2005,Utah,Female Breast,24.3,240,1224741
2005,Vermont,Female Breast,20.7,79,315422
2005,Virginia,Female Breast,25.9,1095,3863646
2005,Washington,Female Breast,23.2,794,3145396
2005,West Virginia,Female Breast,26.9,329,927690
2005,Wisconsin,Female Breast,22.6,764,2797061
2005,Wyoming,Female Breast,21.3,59,253726
2006,Alabama,Female Breast,23.6,660,2385480
2006,Alaska,Female Breast,27.7,74,325121
2006,Arizona,Female Breast,22.3,750,3026134
2006,Arkansas,Female Breast,23.7,411,1438428
2006,California,Female Breast,22.5,4179,18097471
2006,Colorado,Female Breast,20.8,494,2352960
2006,Connecticut,Female Breast,23.5,537,1807675
2006,Delaware,Female Breast,21.2,110,442766
2006,District of Columbia,Female Breast,28.4,95,301322
2006,Florida,Female Breast,21.6,2646,9280080
2006,Georgia,Female Breast,24.1,1112,4670606
2006,Hawaii,Female Breast,18.7,146,652351
2006,Idaho,Female Breast,20.7,160,732104
2006,Illinois,Female Breast,24.3,1771,6440022
2006,Indiana,Female Breast,25.5,944,3218203
2006,Iowa,Female Breast,22.6,446,1511124
2006,Kansas,Female Breast,23.9,396,1394092
2006,Kentucky,Female Breast,23.9,599,2149096
2006,Louisiana,Female Breast,26.5,641,2204072
2006,Maine,Female Breast,21.2,193,676157
2006,Maryland,Female Breast,25,808,2907963
2006,Massachusetts,Female Breast,23.4,968,3311185
2006,Michigan,Female Breast,25,1493,5106621
2006,Minnesota,Female Breast,20.6,612,2600951
2006,Mississippi,Female Breast,25.6,427,1496313
2006,Missouri,Female Breast,25.4,906,2987563
2006,Montana,Female Breast,18.9,113,475341
2006,Nebraska,Female Breast,19.9,215,894687
2006,Nevada,Female Breast,20.6,254,1243993
2006,New Hampshire,Female Breast,20.9,165,662773
2006,New Jersey,Female Breast,27.1,1450,4448099
2006,New Mexico,Female Breast,21,230,993969
2006,New York,Female Breast,23.1,2729,9871401
2006,North Carolina,Female Breast,24,1241,4563152
2006,North Dakota,Female Breast,20.1,84,322583
2006,Ohio,Female Breast,26.5,1893,5883067
2006,Oklahoma,Female Breast,25.4,538,1818693
2006,Oregon,Female Breast,23.1,518,1853117
2006,Pennsylvania,Female Breast,24.8,2121,6429312
2006,Rhode Island,Female Breast,21.2,153,550134
2006,South Carolina,Female Breast,24.6,630,2237655
2006,South Dakota,Female Breast,19.9,97,392420
2006,Tennessee,Female Breast,24.7,891,3121455
2006,Texas,Female Breast,22.6,2574,11771243
2006,United States,Female Breast,23.6,40820,151732647
2006,Utah,Female Breast,25.9,268,1257991
2006,Vermont,Female Breast,22,91,316290
2006,Virginia,Female Breast,25.3,1085,3908475
2006,Washington,Female Breast,22.9,814,3200695
2006,West Virginia,Female Breast,21.3,267,930605
2006,Wisconsin,Female Breast,22.6,755,2812276
2006,Wyoming,Female Breast,22.9,66,257361
2007,Alabama,Female Breast,24.2,682,2407275
2007,Alaska,Female Breast,25.9,68,327138
2007,Arizona,Female Breast,21.1,732,3096998
2007,Arkansas,Female Breast,26.1,458,1451358
2007,California,Female Breast,22.3,4221,18214926
2007,Colorado,Female Breast,18.6,458,2396433
2007,Connecticut,Female Breast,21.4,505,1811617
2007,Delaware,Female Breast,26.4,139,449398
2007,District of Columbia,Female Breast,33.2,107,302949
2007,Florida,Female Breast,20.9,2631,9378587
2007,Georgia,Female Breast,22.8,1089,4777572
2007,Hawaii,Female Breast,16.8,134,657185
2007,Idaho,Female Breast,21.6,169,750127
2007,Illinois,Female Breast,24.6,1806,6467577
2007,Indiana,Female Breast,24,902,3241454
2007,Iowa,Female Breast,20.4,418,1518023
2007,Kansas,Female Breast,23.5,397,1405705
2007,Kentucky,Female Breast,24.6,623,2164210
2007,Louisiana,Female Breast,24.3,601,2239125
2007,Maine,Female Breast,20.1,184,677797
2007,Maryland,Female Breast,24.7,814,2920109
2007,Massachusetts,Female Breast,20.2,839,3321653
2007,Michigan,Female Breast,24,1458,5091035
2007,Minnesota,Female Breast,20.9,640,2622551
2007,Mississippi,Female Breast,23.8,401,1507071
2007,Missouri,Female Breast,24.2,882,3007493
2007,Montana,Female Breast,19.3,118,480939
2007,Nebraska,Female Breast,21.5,232,900106
2007,Nevada,Female Breast,23.2,300,1284052
2007,New Hampshire,Female Breast,23.1,184,664987
2007,New Jersey,Female Breast,26,1418,4455148
2007,New Mexico,Female Breast,20.1,229,1007922
2007,New York,Female Breast,22.9,2744,9881510
2007,North Carolina,Female Breast,24.2,1290,4677313
2007,North Dakota,Female Breast,23.1,102,324066
2007,Ohio,Female Breast,25,1820,5890965
2007,Oklahoma,Female Breast,25,541,1837175
2007,Oregon,Female Breast,21.2,491,1879347
2007,Pennsylvania,Female Breast,23.6,2072,6452087
2007,Rhode Island,Female Breast,22,157,546859
2007,South Carolina,Female Breast,23.7,633,2280792
2007,South Dakota,Female Breast,21,113,396650
2007,Tennessee,Female Breast,23.7,882,3162280
2007,Texas,Female Breast,22.7,2641,12010572
2007,United States,Female Breast,23,40598,153166353
2007,Utah,Female Breast,20.6,217,1292672
2007,Vermont,Female Breast,24.6,99,316538
2007,Virginia,Female Breast,24.8,1085,3947966
2007,Washington,Female Breast,22,799,3247800
2007,West Virginia,Female Breast,22.2,283,932683
2007,Wisconsin,Female Breast,20.8,723,2827782
2007,Wyoming,Female Breast,23.7,67,262776
2008,Alabama,Female Breast,23.3,686,2430257
2008,Alaska,Female Breast,17.8,48,329412
2008,Arizona,Female Breast,20.6,734,3155278
2008,Arkansas,Female Breast,21.4,382,1464220
2008,California,Female Breast,21.6,4204,18396972
2008,Colorado,Female Breast,18.9,484,2439060
2008,Connecticut,Female Breast,21,494,1820749
2008,Delaware,Female Breast,23.2,130,455481
2008,District of Columbia,Female Breast,28,92,306265
2008,Florida,Female Breast,21.2,2705,9465279
2008,Georgia,Female Breast,22.2,1085,4856984
2008,Hawaii,Female Breast,16.3,130,665313
2008,Idaho,Female Breast,22,179,764792
2008,Illinois,Female Breast,23.8,1780,6493537
2008,Indiana,Female Breast,23.9,917,3263963
2008,Iowa,Female Breast,23.5,465,1525539
2008,Kansas,Female Breast,21.9,370,1415563
2008,Kentucky,Female Breast,21.8,562,2183532
2008,Louisiana,Female Breast,26.1,657,2269630
2008,Maine,Female Breast,21.7,199,679413
2008,Maryland,Female Breast,25,826,2935788
2008,Massachusetts,Female Breast,21.3,895,3340730
2008,Michigan,Female Breast,24.3,1478,5065899
2008,Minnesota,Female Breast,21.5,673,2642672
2008,Mississippi,Female Breast,24.9,421,1516955
2008,Missouri,Female Breast,25,917,3024837
2008,Montana,Female Breast,16.9,104,486477
2008,Nebraska,Female Breast,20.7,230,905814
2008,Nevada,Female Breast,23.4,312,1310601
2008,New Hampshire,Female Breast,23.6,191,666576
2008,New Jersey,Female Breast,25.6,1409,4469901
2008,New Mexico,Female Breast,19.5,226,1018578
2008,New York,Female Breast,21.9,2658,9918841
2008,North Carolina,Female Breast,22.9,1254,4771376
2008,North Dakota,Female Breast,22,93,326131
2008,Ohio,Female Breast,25.1,1849,5896594
2008,Oklahoma,Female Breast,23.1,505,1854771
2008,Oregon,Female Breast,22,524,1903535
2008,Pennsylvania,Female Breast,23.8,2108,6473295
2008,Rhode Island,Female Breast,21,148,545412
2008,South Carolina,Female Breast,24.6,664,2325047
2008,South Dakota,Female Breast,23.3,117,400236
2008,Tennessee,Female Breast,22.7,857,3203115
2008,Texas,Female Breast,21.9,2608,12249936
2008,United States,Female Breast,22.6,40589,154604015
2008,Utah,Female Breast,20.5,219,1325631
2008,Vermont,Female Breast,16.9,68,316722
2008,Virginia,Female Breast,23.8,1070,3988983
2008,Washington,Female Breast,21.1,788,3293162
2008,West Virginia,Female Breast,23.4,301,934911
2008,Wisconsin,Female Breast,20.6,721,2842268
2008,Wyoming,Female Breast,16.8,52,267982
2009,Alabama,Female Breast,22,645,2448159
2009,Alaska,Female Breast,28.1,72,337002
2009,Arizona,Female Breast,19.8,716,3189908
2009,Arkansas,Female Breast,23.2,414,1475013
2009,California,Female Breast,22.3,4413,18583075
2009,Colorado,Female Breast,19.6,513,2480710
