Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2003,Tennessee,Lung and Bronchus,67.4,4045,5847812
2003,Texas,Lung and Bronchus,53.8,9725,22030931
2003,United States,Lung and Bronchus,54.2,157990,290107933
2003,Utah,Lung and Bronchus,24.7,412,2360137
2003,Vermont,Lung and Bronchus,48.8,320,617858
2003,Virginia,Lung and Bronchus,57.6,4024,7366977
2003,Washington,Lung and Bronchus,55.7,3188,6104115
2003,West Virginia,Lung and Bronchus,66.3,1468,1812295
2003,Wisconsin,Lung and Bronchus,47.3,2725,5479203
2003,Wyoming,Lung and Bronchus,49.2,245,503453
2004,Alabama,Lung and Bronchus,62.9,3051,4530729
2004,Alaska,Lung and Bronchus,58.1,229,659286
2004,Arizona,Lung and Bronchus,46.2,2687,5652404
2004,Arkansas,Lung and Bronchus,68.7,2100,2749686
2004,California,Lung and Bronchus,42.7,13399,35574576
2004,Colorado,Lung and Bronchus,39.4,1501,4575013
2004,Connecticut,Lung and Bronchus,49.7,1927,3496094
2004,Delaware,Lung and Bronchus,65.8,583,830803
2004,District of Columbia,Lung and Bronchus,50.7,283,567754
2004,Florida,Lung and Bronchus,53.7,12065,17415318
2004,Georgia,Lung and Bronchus,59,4313,8769252
2004,Hawaii,Lung and Bronchus,37.7,523,1273569
2004,Idaho,Lung and Bronchus,41.2,535,1391802
2004,Illinois,Lung and Bronchus,55,6804,12589773
2004,Indiana,Lung and Bronchus,60.8,3825,6233007
2004,Iowa,Lung and Bronchus,53.6,1823,2953635
2004,Kansas,Lung and Bronchus,54,1544,2734373
2004,Kentucky,Lung and Bronchus,77.2,3314,4146101
2004,Louisiana,Lung and Bronchus,66.6,2916,4552238
2004,Maine,Lung and Bronchus,61.5,951,1313688
2004,Maryland,Lung and Bronchus,53.4,2845,5546935
2004,Massachusetts,Lung and Bronchus,52.2,3612,6412281
2004,Michigan,Lung and Bronchus,56.7,5824,10055315
2004,Minnesota,Lung and Bronchus,46.9,2355,5087713
2004,Mississippi,Lung and Bronchus,68.5,1969,2889010
2004,Missouri,Lung and Bronchus,65.3,4033,5747741
2004,Montana,Lung and Bronchus,48.6,503,930009
2004,Nebraska,Lung and Bronchus,47.5,877,1749370
2004,Nevada,Lung and Bronchus,56.5,1239,2346222
2004,New Hampshire,Lung and Bronchus,56.5,731,1290121
2004,New Jersey,Lung and Bronchus,48.9,4487,8634561
2004,New Mexico,Lung and Bronchus,36,676,1903808
2004,New York,Lung and Bronchus,46.4,9384,19171567
2004,North Carolina,Lung and Bronchus,58.6,5033,8553152
2004,North Dakota,Lung and Bronchus,48.2,358,644705
2004,Ohio,Lung and Bronchus,60.2,7427,11452251
2004,Oklahoma,Lung and Bronchus,63.1,2359,3525233
2004,Oregon,Lung and Bronchus,54.4,2067,3569463
2004,Pennsylvania,Lung and Bronchus,53.2,7973,12410722
2004,Rhode Island,Lung and Bronchus,55.4,669,1074579
2004,South Carolina,Lung and Bronchus,57.9,2503,4210921
2004,South Dakota,Lung and Bronchus,49.5,424,770396
2004,Tennessee,Lung and Bronchus,68,4170,5910809
2004,Texas,Lung and Bronchus,52.3,9697,22394023
2004,United States,Lung and Bronchus,53.4,158006,292805298
2004,Utah,Lung and Bronchus,26.6,454,2401580
2004,Vermont,Lung and Bronchus,48.3,327,619920
2004,Virginia,Lung and Bronchus,56.3,3992,7475575
2004,Washington,Lung and Bronchus,52.2,3066,6178645
2004,West Virginia,Lung and Bronchus,65.7,1469,1816438
2004,Wisconsin,Lung and Bronchus,50,2905,5514026
2004,Wyoming,Lung and Bronchus,40.2,205,509106
2005,Alabama,Lung and Bronchus,64.1,3146,4565917
2005,Alaska,Lung and Bronchus,51.6,216,666946
2005,Arizona,Lung and Bronchus,43.8,2648,5839077
2005,Arkansas,Lung and Bronchus,70.3,2176,2781097
2005,California,Lung and Bronchus,41.9,13345,35827943
2005,Colorado,Lung and Bronchus,39,1528,4631888
2005,Connecticut,Lung and Bronchus,46.8,1830,3506956
2005,Delaware,Lung and Bronchus,62.3,568,845150
2005,District of Columbia,Lung and Bronchus,51.9,289,567136
2005,Florida,Lung and Bronchus,52.6,12104,17842038
2005,Georgia,Lung and Bronchus,57.8,4366,8925922
2005,Hawaii,Lung and Bronchus,40,572,1292729
2005,Idaho,Lung and Bronchus,45.7,612,1428241
2005,Illinois,Lung and Bronchus,53,6613,12609903
2005,Indiana,Lung and Bronchus,62.9,4021,6278616
2005,Iowa,Lung and Bronchus,53.8,1853,2964454
2005,Kansas,Lung and Bronchus,57,1642,2745299
2005,Kentucky,Lung and Bronchus,77.3,3390,4182742
2005,Louisiana,Lung and Bronchus,65.8,2847,4411396
2005,Maine,Lung and Bronchus,60,946,1318787
2005,Maryland,Lung and Bronchus,55.1,2989,5592379
2005,Massachusetts,Lung and Bronchus,52.4,3638,6403290
2005,Michigan,Lung and Bronchus,55.7,5795,10051137
2005,Minnesota,Lung and Bronchus,44.7,2282,5119598
2005,Mississippi,Lung and Bronchus,65.1,1887,2876229
2005,Missouri,Lung and Bronchus,62.1,3887,5790300
2005,Montana,Lung and Bronchus,52.5,550,940102
2005,Nebraska,Lung and Bronchus,48.4,905,1761497
2005,Nevada,Lung and Bronchus,58.1,1290,2432143
2005,New Hampshire,Lung and Bronchus,54.5,733,1298492
2005,New Jersey,Lung and Bronchus,48.3,4452,8651974
2005,New Mexico,Lung and Bronchus,36.4,705,1932274
2005,New York,Lung and Bronchus,45.8,9307,19132610
2005,North Carolina,Lung and Bronchus,59.6,5258,8705407
2005,North Dakota,Lung and Bronchus,42.3,310,646089
2005,Ohio,Lung and Bronchus,59.3,7388,11463320
2005,Oklahoma,Lung and Bronchus,62.5,2375,3548597
2005,Oregon,Lung and Bronchus,54.3,2105,3613202
2005,Pennsylvania,Lung and Bronchus,54.1,8155,12449990
2005,Rhode Island,Lung and Bronchus,50.8,610,1067916
2005,South Carolina,Lung and Bronchus,61.1,2712,4270150
2005,South Dakota,Lung and Bronchus,53.4,469,775493
2005,Tennessee,Lung and Bronchus,69.8,4370,5991057
2005,Texas,Lung and Bronchus,51,9684,22773020
2005,United States,Lung and Bronchus,52.9,159217,295516599
2005,Utah,Lung and Bronchus,24.4,433,2457719
2005,Vermont,Lung and Bronchus,49.5,336,621215
2005,Virginia,Lung and Bronchus,57,4151,7577105
2005,Washington,Lung and Bronchus,51.9,3127,6257305
2005,West Virginia,Lung and Bronchus,66.1,1494,1820492
2005,Wisconsin,Lung and Bronchus,48.3,2857,5546166
2005,Wyoming,Lung and Bronchus,47.8,251,514157
2006,Alabama,Lung and Bronchus,60.2,3021,4628981
2006,Alaska,Lung and Bronchus,47.4,206,675302
2006,Arizona,Lung and Bronchus,43.7,2741,6029141
2006,Arkansas,Lung and Bronchus,65.1,2066,2821761
2006,California,Lung and Bronchus,40.9,13199,36021202
2006,Colorado,Lung and Bronchus,38.2,1558,4720423
2006,Connecticut,Lung and Bronchus,46.5,1834,3517460
2006,Delaware,Lung and Bronchus,59.1,557,859268
2006,District of Columbia,Lung and Bronchus,49.2,271,570681
2006,Florida,Lung and Bronchus,51.4,12018,18166990
2006,Georgia,Lung and Bronchus,56.7,4456,9155813
2006,Hawaii,Lung and Bronchus,38.9,565,1309731
2006,Idaho,Lung and Bronchus,41.9,589,1468669
2006,Illinois,Lung and Bronchus,52.8,6671,12643955
2006,Indiana,Lung and Bronchus,61.7,4000,6332669
2006,Iowa,Lung and Bronchus,49,1714,2982644
2006,Kansas,Lung and Bronchus,54.4,1584,2762931
2006,Kentucky,Lung and Bronchus,74.5,3325,4219239
2006,Louisiana,Lung and Bronchus,61.5,2654,4302665
2006,Maine,Lung and Bronchus,60.8,971,1323619
2006,Maryland,Lung and Bronchus,53,2902,5627367
2006,Massachusetts,Lung and Bronchus,52.9,3722,6410084
2006,Michigan,Lung and Bronchus,55.3,5817,10036081
2006,Minnesota,Lung and Bronchus,44.9,2353,5163555
2006,Mississippi,Lung and Bronchus,67.8,2004,2904978
2006,Missouri,Lung and Bronchus,61.7,3933,5842704
2006,Montana,Lung and Bronchus,47.8,521,952692
2006,Nebraska,Lung and Bronchus,47.5,904,1772693
2006,Nevada,Lung and Bronchus,56.2,1307,2522658
2006,New Hampshire,Lung and Bronchus,51.9,709,1308389
2006,New Jersey,Lung and Bronchus,47.3,4403,8661679
2006,New Mexico,Lung and Bronchus,34.8,694,1962137
2006,New York,Lung and Bronchus,44.8,9176,19104631
2006,North Carolina,Lung and Bronchus,59,5373,8917270
2006,North Dakota,Lung and Bronchus,47.4,353,649422
2006,Ohio,Lung and Bronchus,59.2,7455,11481213
2006,Oklahoma,Lung and Bronchus,63.1,2440,3594090
2006,Oregon,Lung and Bronchus,53.2,2117,3670883
2006,Pennsylvania,Lung and Bronchus,52.4,7960,12510809
2006,Rhode Island,Lung and Bronchus,49.4,601,1063096
2006,South Carolina,Lung and Bronchus,58.7,2712,4357847
2006,South Dakota,Lung and Bronchus,48.8,437,783033
2006,Tennessee,Lung and Bronchus,67.8,4370,6088766
2006,Texas,Lung and Bronchus,49.5,9723,23359580
2006,United States,Lung and Bronchus,51.7,158599,298379912
2006,Utah,Lung and Bronchus,24,445,2525507
2006,Vermont,Lung and Bronchus,50.1,348,622892
